year/month/day,cloud,rain,suntime,target
2022/1/1,1.5,0,12.41,0
2022/1/2,2.8,0,10.29,0
2022/1/3,6.5,0,7.48,0
2022/1/4,2.8,0,11.58,0
2022/1/5,3.5,0,12.68,0
2022/1/6,7.3,0,3.46,0
2022/1/7,2.5,0,12.97,0
2022/1/8,0.3,0,12.94,0
2022/1/9,7.3,0,11.15,0
2022/1/10,3.8,0,12.91,0
2022/1/11,8.8,1.5,1.47,1
2022/1/12,3.5,0,12.91,0
2022/1/13,7.5,1,5.55,1
2022/1/14,4.3,0,9.5,0
2022/1/15,5,0,9.57,0
2022/1/16,5.8,0,12.55,0
2022/1/17,8,0,7.08,0
2022/1/18,6,0,12.09,0
2022/1/19,3.8,0,10.57,0
2022/1/20,4.3,0,10.75,0
2022/1/21,1,0,12.9,0
2022/1/22,0.5,0,14.43,0
2022/1/23,8.5,0.5,2.43,1
2022/1/24,6,0,12.08,0
2022/1/25,9.5,0,8.78,0
2022/1/26,3,0,13.65,0
2022/1/27,2.8,0,13.55,0
2022/1/28,4.5,0,13.83,0
2022/1/29,10,0,8.64,0
2022/1/30,9,0,6.06,0
2022/1/31,3.5,0,15.63,0
2022/2/1,4.8,0,11.87,0
2022/2/2,4.3,0,13.56,0
2022/2/3,7.5,0,8.54,0
2022/2/4,7,0,11.98,0
2022/2/5,9.3,0.5,9.23,1
2022/2/6,8.3,0.5,7.64,1
2022/2/7,6.3,0,15.63,0
2022/2/8,8.5,0,12.3,0
2022/2/9,5,0,16.43,0
2022/2/10,7.5,1,2.17,1
2022/2/11,0.3,0,17.06,0
2022/2/12,5.5,0,15.84,0
2022/2/13,8.8,0.5,5,1
2022/2/14,7.5,0,11.19,0
2022/2/15,8,0,11.57,0
2022/2/16,5.3,0,11.36,0
2022/2/17,5.5,0,14.4,0
2022/2/18,3.5,0,18.28,0
2022/2/19,10,1,7.82,1
2022/2/20,5.3,0.5,12.68,1
2022/2/21,5.3,0,9.52,0
2022/2/22,8.5,0.5,8.81,1
2022/2/23,5.3,0,16.94,1
2022/2/24,1.5,0,18.45,0
2022/2/25,1.8,0,18.71,0
2022/2/26,6.8,0,19.27,0
2022/2/27,4.8,0,11.81,0
2022/2/28,5.3,0,19.32,0
2022/3/1,8.5,0.5,3.96,1
2022/3/2,4.5,0,17.38,0
2022/3/3,2.8,0,16.3,0
2022/3/4,5,0,17.29,0
2022/3/5,5,0.5,16.1,1
2022/3/6,3.8,0,15.58,1
2022/3/7,6.8,0,17.2,0
2022/3/8,2.5,0,20.28,0
2022/3/9,5,0,11,0
2022/3/10,3.5,0,18.93,0
2022/3/11,6.5,0,18.94,0
2022/3/12,4,0,19.85,0
2022/3/13,10,0,14.82,0
2022/3/14,6,3.5,20.13,1
2022/3/15,4.8,0,18.26,0
2022/3/16,4.8,0,21.36,0
2022/3/17,6.5,0,16.02,0
2022/3/18,10,2,1.86,1
2022/3/19,7.5,0.5,13.98,1
2022/3/20,5.3,0,20.68,0
2022/3/21,9.3,0,19.41,0
2022/3/22,7.8,0.5,5.65,1
2022/3/23,9.8,0,11.49,0
2022/3/24,3.5,0,21.29,0
2022/3/25,5,0,20.11,0
2022/3/26,10,2.5,1.51,1
2022/3/27,6.3,0.5,24.33,1
2022/3/28,9.3,0,16.94,0
2022/3/29,10,0,7.92,0
2022/3/30,9.5,0,21.65,0
2022/3/31,10,0.5,9.3,1
2022/4/1,9.3,0.5,20.8,1
2022/4/2,10,0.5,16.17,1
2022/4/3,10,0,5.36,0
2022/4/4,3.5,0,24.59,0
2022/4/5,3.3,0,25.47,0
2022/4/6,7,0,24.13,0
2022/4/7,6.5,0,22.1,0
2022/4/8,0,0,25.49,0
2022/4/9,0,0,24.47,0
2022/4/10,0.8,0,24.94,0
2022/4/11,10,0,19.01,0
2022/4/12,0.8,0,24.65,0
2022/4/13,8.8,0,21.98,0
2022/4/14,10,5.5,7.83,0
2022/4/15,9.3,0.5,6.25,0
2022/4/16,6.3,0,25.58,0
2022/4/17,10,1,6.91,1
2022/4/18,8.5,1.5,4.37,1
2022/4/19,5.8,0,23.71,0
2022/4/20,0.5,0,25.06,0
2022/4/21,9,1.5,8.84,1
2022/4/22,4.3,0,24.33,0
2022/4/23,9.3,0,18.88,0
2022/4/24,10,0.5,4.45,1
2022/4/25,8.5,0,24.94,0
2022/4/26,10,5,5.37,1
2022/4/27,10,3.5,14.4,1
2022/4/28,9.3,0,17.53,0
2022/4/29,6.8,4,3.86,1
2022/4/30,3.8,0,27.02,0
2022/5/1,9.8,1.5,4.47,1
2022/5/2,6.5,0,25,0
2022/5/3,1.5,0,28.74,0
2022/5/4,2,0,28.03,0
2022/5/5,3.5,0,27.75,0
2022/5/6,9.8,0,18.32,0
2022/5/7,5,0,22.93,0
2022/5/8,6.8,0,28.04,0
2022/5/9,9.5,1,3.1,1
2022/5/10,7.8,0,24.43,0
2022/5/11,7.5,0,18.5,0
2022/5/12,9.3,2,8.93,1
2022/5/13,10,1.5,5.77,1
2022/5/14,8.5,1,19.9,1
2022/5/15,10,0,9.05,0
2022/5/16,10,0,12.1,0
2022/5/17,10,0,7.75,0
2022/5/18,4.3,0,28.13,0
2022/5/19,5.8,0,23.55,0
2022/5/20,10,0,13.15,0
2022/5/21,10,2.5,4.87,1
2022/5/22,5.8,1,27.67,1
2022/5/23,4,0,29.65,0
2022/5/24,4.5,0,27.14,0
2022/5/25,4.8,0,24.45,0
2022/5/26,9,3,8.04,1
2022/5/27,9.3,16,25.1,1
2022/5/28,4.5,0,27.71,0
2022/5/29,4,0,29.9,0
2022/5/30,6.5,0.5,24.39,1
2022/5/31,7,1,15.37,1
2022/6/1,7.5,0,21.19,0
2022/6/2,3.5,0,28.12,0
2022/6/3,2,0,28.22,0
2022/6/4,5.3,0,28.52,0
2022/6/5,9.8,1,17.09,1
2022/6/6,10,2.5,7.48,1
2022/6/7,2.3,0,30.28,0
2022/6/8,2.5,0,28.35,0
2022/6/9,5.8,0,24.98,0
2022/6/10,9.3,0,21.89,0
2022/6/11,10,0.5,7.73,1
2022/6/12,5.3,0,29.27,0
2022/6/13,10,0,21.5,0
2022/6/14,10,1,5.65,1
2022/6/15,10,0.5,5.41,1
2022/6/16,10,0,14,0
2022/6/17,9.3,0,21.85,0
2022/6/18,10,1.5,4.72,1
2022/6/19,6.3,0,26.17,0
2022/6/20,10,0,19.96,0
2022/6/21,10,3.5,7.96,1
2022/6/22,10,4.5,8.62,1
2022/6/23,9,0,17.73,0
2022/6/24,7.5,0,21.58,0
2022/6/25,8.5,0,18.5,0
2022/6/26,8.5,0,16.52,0
2022/6/27,5.5,0,23.76,0
2022/6/28,4,0,28.1,0
2022/6/29,1.8,0,29.25,0
2022/6/30,4,0,29.15,0
2022/7/1,0.3,0,28.37,0
2022/7/2,3.3,0,28.87,0
2022/7/3,10,8.5,3.32,1
2022/7/4,10,0.5,6.76,1
2022/7/5,10,1.5,11.28,1
2022/7/6,5.3,7,24.04,1
2022/7/7,8.8,0,21.1,0
2022/7/8,9.3,0,20.98,0
2022/7/9,8.5,10.5,13.14,1
2022/7/10,10,5.5,6.3,1
2022/7/11,8.3,0,22.71,0
2022/7/12,10,4,8.18,1
2022/7/13,5,0,27.18,0
2022/7/14,9.5,9.5,7.55,1
2022/7/15,10,3.5,6.41,1
2022/7/16,10,1.5,8.46,1
2022/7/17,8.5,4.5,17.95,1
2022/7/18,10,0,16.53,0
2022/7/19,10,8.5,3.08,1
2022/7/20,8,0,24.64,0
2022/7/21,7.5,0,16.27,0
2022/7/22,8,2.5,19.23,1
2022/7/23,2.8,0,28.69,0
2022/7/24,7.5,0,26.34,0
2022/7/25,5.8,0,27.18,0
2022/7/26,6.8,0.5,22.21,1
2022/7/27,9.3,6,13.32,1
2022/7/28,6.3,0,22.94,0
2022/7/29,4.5,0,23.14,0
2022/7/30,5,0,24.84,0
2022/7/31,5,0,25.06,0
2022/8/1,7.5,0,26.54,0
2022/8/2,8,0,26.23,0
2022/8/3,6.3,0,24.13,0
2022/8/4,9,1.5,2.86,1
2022/8/5,9.3,0.5,19.19,1
2022/8/6,8.8,0,10.71,0
2022/8/7,6,0,19.61,0
2022/8/8,9.3,6,14.97,1
2022/8/9,9.5,0,18.69,0
2022/8/10,9.5,0,17.32,0
2022/8/11,8.5,0,20.69,0
2022/8/12,10,1.5,13.91,1
2022/8/13,8.8,0.5,16.51,1
2022/8/14,9.8,10,15.56,1
2022/8/15,8.3,0,17.33,0
2022/8/16,9.3,1,17.92,1
2022/8/17,10,3,9.71,1
2022/8/18,5.8,9,17.77,1
2022/8/19,7.8,0,23.38,0
2022/8/20,10,1,10.62,1
2022/8/21,9.8,2.5,12.26,1
2022/8/22,6.5,3.5,17.25,1
2022/8/23,10,0.5,11.41,1
2022/8/24,8.5,0,21.24,0
2022/8/25,10,9,3.83,1
2022/8/26,9.5,0,14.84,0
2022/8/27,8,4,10.89,1
2022/8/28,7,0.5,16.97,1
2022/8/29,8.5,0,21.11,0
2022/8/30,8.8,1,12.46,1
2022/8/31,9.5,12,18.3,1
2022/9/1,10,0.5,10.31,1
2022/9/2,9.5,4,15.18,1
2022/9/3,9.5,1,14.18,1
2022/9/4,5.8,1,16.12,1
2022/9/5,5,0.5,20.92,1
2022/9/6,9.5,2.5,13.65,1
2022/9/7,8.8,1,22.64,1
2022/9/8,10,6,7.57,1
2022/9/9,9.5,3,17.87,1
2022/9/10,5,9.5,21.09,1
2022/9/11,6.3,0,21.26,0
2022/9/12,8.3,0,18.97,0
2022/9/13,7.8,0,18.73,0
2022/9/14,9.3,0,17.93,0
2022/9/15,10,0,14.8,0
2022/9/16,8.5,0,17.92,0
2022/9/17,10,0,11.48,0
2022/9/18,9.5,5,12.44,1
2022/9/19,10,8,10.75,1
2022/9/20,10,4,14.95,1
2022/9/21,8.3,0,18.08,0
2022/9/22,10,0.5,4.95,1
2022/9/23,10,6,0.9,1
2022/9/24,3.5,0,20.32,0
2022/9/25,5.8,0,17.25,0
2022/9/26,2.8,0,20.4,0
2022/9/27,9.5,0.5,15.39,1
2022/9/28,10,0,9.69,0
2022/9/29,10,0,10.92,0
2022/9/30,4.8,0,16.65,0
2022/10/1,0.8,0,19.99,0
2022/10/2,4.8,0,19.52,0
2022/10/3,9.3,0,10.36,0
2022/10/4,10,0,12.35,0
2022/10/5,9.5,1,6.82,1
2022/10/6,10,0,5.51,0
2022/10/7,9.5,2.5,1.98,1
2022/10/8,9.5,0,13.19,0
2022/10/9,10,1.5,4.77,1
2022/10/10,10,0.5,10.98,1
2022/10/11,9.5,0,19.03,0
2022/10/12,9.5,0,14.35,0
2022/10/13,7.5,0,5.8,0
2022/10/14,2.3,0,18.44,0
2022/10/15,5,0,17.47,0
2022/10/16,5.8,0,16.2,0
2022/10/17,10,1,2.05,1
2022/10/18,5,0,14.65,0
2022/10/19,3,0,18.66,0
2022/10/20,0,0,18.47,0
2022/10/21,3.8,0,17.15,0
2022/10/22,7.8,0,11.08,0
2022/10/23,4.5,0,15.86,0
2022/10/24,1.8,0,17.28,0
2022/10/25,5,0,8.48,0
2022/10/26,0,0,17.62,0
2022/10/27,5.3,0,10.45,0
2022/10/28,0.5,0,16.47,0
2022/10/29,1.8,0,16.56,0
2022/10/30,5.5,0,13.07,0
2022/10/31,8.5,0,8.41,0
2022/11/1,10,0.5,1.82,1
2022/11/2,0.5,0,15.6,0
2022/11/3,1,0,15.61,0
2022/11/4,2,0,11.39,0
2022/11/5,0.5,0,15.5,0
2022/11/6,2,0,16.03,0
2022/11/7,5,0,14.45,0
2022/11/8,0.8,0,12.78,0
2022/11/9,0,0,15.29,0
2022/11/10,2.5,0,12.4,0
2022/11/11,1.8,0,13.83,0
2022/11/12,2.3,0,13.41,0
2022/11/13,10,1,3.49,1
2022/11/14,5.5,0,11.66,0
2022/11/15,5.3,0,14.21,0
2022/11/16,5.3,0,11.8,0
2022/11/17,7.8,0,8.67,0
2022/11/18,0,0,14.21,0
2022/11/19,3.8,0,11.95,0
2022/11/20,10,0,5.14,0
2022/11/21,4.5,2,12.85,1
2022/11/22,7.5,0,8.65,0
2022/11/23,10,2,1.3,1
2022/11/24,6.8,0,11.82,0
2022/11/25,2.3,0,13.48,0
2022/11/26,7.8,0.5,6.16,1
2022/11/27,2.5,0,12.88,0
2022/11/28,10,2,6.16,1
2022/11/29,10,3,1.96,1
2022/11/30,8,0.5,4.67,1
2022/12/1,5.5,0,9.14,0
2022/12/2,4,0,10.66,0
2022/12/3,3.8,0,10.98,0
2022/12/4,8.8,0,6.34,0
2022/12/5,8.3,0,6.02,0
2022/12/6,5,0,10.03,0
2022/12/7,4.5,0,9.88,0
2022/12/8,5.5,0,10.09,0
2022/12/9,4.8,0,12.03,0
2022/12/10,5,0,12.05,0
2022/12/11,7.8,0,7.7,0
2022/12/12,2.5,0,12.23,0
2022/12/13,8,0.5,6.56,1
2022/12/14,3,0,8.78,0
2022/12/15,3.8,0,11.78,0
2022/12/16,3.3,0,6.65,0
2022/12/17,10,0.5,2.99,1
2022/12/18,1.5,0,12.65,0
2022/12/19,4,0,11.18,0
2022/12/20,5,0,7.12,0
2022/12/21,8,0.5,8.17,1
2022/12/22,7.5,1,4.61,1
2022/12/23,1.3,0,12.65,0
2022/12/24,5.5,1.5,8.32,1
2022/12/25,3,0.5,11.57,1
2022/12/26,3.5,0,10.6,0
2022/12/27,3.8,0,11.7,0
2022/12/28,0.8,0,11.72,0
2022/12/29,4.5,0,6.54,0
2022/12/30,8.8,0,6.11,0
2022/12/31,6.5,0,7.29,0
